,0,1,2,3,4,5
140,3, 103 , 3,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_103_m_37_et._1851521321,9950000,3
141,2, 45 , 1,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_45_m_15_et._1834864952,2580000,2 
142,2, 64 , 3,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_64_m_310_et._1937684660,6860000,2
143,1, 28 , 1,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_28_m_15_et._1852962498,1999965,1 
144,2, 60 , 4,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_60_m_419_et._1946667718,3160000,2
145,2, 50.2 , 6,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_50.2_m_68_et._1919719811,4999999,3 
146,3, 62 , 1,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_62_m_15_et._1942405274,3900000,2
147,1, 21 , 3,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_21_m_33_et._1890227595,1500000,1 
148,1, 54 , 13,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_54_m_1317_et._1930055784,4250000,2
149,4, 160 , 2,https://www.avito.ru/kazan/kvartiry/4-k_kvartira_160_m_23_et._1941482825,13000000,3
150,3, 68 , 1,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_68_m_19_et._1904605620,5400000,2
151,1, 31.3 , 3,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_31.3_m_33_et._1937066950,2070000,2
152,3, 74 , 11,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_74_m_1116_et._1878433005,5700000,2
153,1, 36 , 11,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_36_m_1120_et._1921450123,2300000,1
154,2, 40 , 14,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_40_m_1416_et._1894025920,4600000,2 
155,1, 28 , 1,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_28_m_15_et._1852962498,1999965,1 
156,3, 153.6 , 13,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_153.6_m_1315_et._1882006128,18621400,3 
157,3, 63.8 , 8,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_63.8_m_89_et._1924706621,4880000,2
158,1, 31 , 3,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_31_m_35_et._1910324743,2800000,3
159,2, 68 , 2,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_68_m_225_et._1517335602,5700000,3
160,1, 19.9 , 2,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_19.9_m_25_et._1831173857,1350000,1
161,2, 46 , 8,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_46_m_89_et._1907671783,3800000,2 
162,1, 38 , 18,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_38_m_1823_et._1946040039,3490000,2
163,1, 30 , 1,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_30_m_15_et._1935770817,2700000,3
164,2, 68 , 2,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_68_m_211_et._1925985727,6600000,3 
