"3; 90.3 ; 3";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_90.3_m_310_et._1939807993;8567000;2
"2; 58.4 ; 1";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_58.4_m_13_et._1939288623;3720000;2
"1; 31.6 ; 4";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_31.6_m_45_et._1913252319;2900000;1 
"3; 100 ; 8";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_100_m_818_et._1808751940;6299000;2
"2; 52 ; 25";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_52_m_2526_et._1875871993;4490000;3
"2; 48 ; 7";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_48_m_719_et._1914078835;2750000;2
"2; 53 ; 7";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_53_m_710_et._1590953671;4999999;3 
"1; 51.4 ; 7";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_51.4_m_715_et._1882202056;6436661;3 
"0.5; 22 ; 2";https://www.avito.ru/kazan/kvartiry/studiya_22_m_25_et._1903095519;1270000;3 
"1; 35.4 ; 3";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_35.4_m_33_et._1923093715;2200000;2
"2; 44 ; 4";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_44_m_419_et._1946859126;2649999;2
"0.5; 18 ; 3";https://www.avito.ru/kazan/kvartiry/studiya_18_m_35_et._1896176306;1595000;1 
"2; 55.7 ; 12";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_55.7_m_1219_et._1882837476;3250000;2
"5; 101.2 ; 6";https://www.avito.ru/kazan/kvartiry/5-k_kvartira_101.2_m_610_et._1943202364;5200000;2 
"1; 36 ; 19";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_36_m_1920_et._1939943351;2031820;2 
"1; 32 ; 1";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_32_m_15_et._1855729622;2580000;1
"3; 76 ; 4";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_76_m_49_et._1899798373;4490000;2 
"1; 31 ; 3";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_31_m_33_et._1190026473;2025000;2
"2; 55 ; 2";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_55_m_214_et._1867817847;3620000;2 
"3; 89 ; 3";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_89_m_35_et._1914224330;6050000;2
"3; 67.1 ; 4";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_67.1_m_410_et._1835132406;3560000;1
"3; 65.2 ; 1";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_65.2_m_19_et._1899797034;4350000;1
"3; 158.3 ; 5";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_158.3_m_56_et._983410983;11500000;3 
"1; 33.1 ; 9";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_33.1_m_910_et._1902712399;1980000;1 
"3; 123.7 ; 21";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_123.7_m_2122_et._1946859290;12909000;3 
"1; 30 ; 3";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_30_m_39_et._1897316302;2400000;2 
"3; 69 ; 7";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_69_m_79_et._1934329647;4499000;3
"2; 47 ; 9";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_47_m_914_et._1916137280;4400000;2
"2; 75 ; 7";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_75_m_710_et._1889929090;5549990;2
"2; 64 ; 11";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_64_m_1119_et._1911627138;5100000;3 
"1; 19 ; 5";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_19_m_55_et._1921427439;1760000;2
"1; 34.3 ; 5";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_34.3_m_55_et._1866846847;2000000;2
"4; 230 ; 17";https://www.avito.ru/kazan/kvartiry/4-k_kvartira_230_m_1737_et._1932817465;12500000;2
"1; 18.7 ; 3";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_18.7_m_35_et._1898764381;1710000;3
"1; 31.5 ; 4";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_31.5_m_419_et._1923702309;3020160;2
"1; 39 ; 1";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_39_m_19_et._1866204134;2999000;2
"1; 32 ; 6";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_32_m_619_et._1890999481;2920000;2
"2; 54.3 ; 9";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_54.3_m_919_et._1923672197;3019000;2
"2; 44.2 ; 12";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_44.2_m_1219_et._1923458230;2707000;2
"2; 51 ; 17";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_51_m_1719_et._1923062634;4248720;2
"2; 51.2 ; 15";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_51.2_m_1519_et._1923418408;3011000;2
"1; 36 ; 4";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_36_m_49_et._1928902161;3350000;3 
"2; 60.2 ; 4";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_60.2_m_419_et._1923791340;3172000;2
"2; 54.6 ; 7";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_54.6_m_719_et._1923143540;4640085;2
"3; 70.6 ; 18";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_70.6_m_1819_et._1923269163;3640000;2
